player_id,player_name_before,team_before,position_group,functional_role_before,final_player_rating,global_rank,position_rank,role_rank,team_rank,goalkeeper_rank,minutes,player_name_after,team_after,position_group_360,functional_role_after,final_player_rating_v2,global_rank_v2,position_rank_v2,role_rank_v2,team_rank_v2,gk_rating_v2,gk_rank_v2,minutes_played,_merge
4447,Martin Braithwaite Christensen,Denmark,Forward,Target Forward,0.4721416385270995,312.0,63,39,13,,110.36666666666667,Martin Braithwaite Christensen,Denmark,FW,Target Forward,0.3682315508414219,281.0,63.0,33.0,13.0,,,110.36666666666667,both
4506,Nampalys Mendy,Senegal,Defensive Midfield,Holding Anchor,0.4353349666460382,420.0,38,34,15,,294.3666666666667,Nampalys Mendy,Senegal,DM,Holding Anchor,0.2811443222516756,417.0,65.0,47.0,15.0,,,294.3666666666667,both
4614,Antonee Robinson,United States,Fullback/Wingback,Attacking Wingback,0.566233392956168,44.0,12,11,4,,386.26666666666665,Antonee Robinson,United States,FB,Attacking Wingback,0.477930459929572,153.0,21.0,18.0,9.0,,,386.26666666666665,both
4664,Sebastian Szymański,Poland,Central/Wide Midfield,Wide Creator,0.438708493084457,409.0,60,32,12,,134.95,Sebastian Szymański,Poland,CM,Wide Creator,0.1691627186220719,530.0,48.0,25.0,13.0,,,134.95,both
4706,Kalvin Phillips,England,Defensive Midfield,Ball-Winner,0.425923791206756,454.0,59,74,18,,49.83333333333333,Kalvin Phillips,England,DM,Ball-Winner,0.2715203372835242,432.0,68.0,38.0,17.0,,,49.83333333333333,both
4734,Matty Cash,Poland,Fullback/Wingback,Deep Playmaker,0.3685351465834703,545.0,107,35,16,,389.75,Matty Cash,Poland,FB,Deep Playmaker,0.1209933953769007,546.0,105.0,39.0,15.0,,,389.75,both
4767,Chris Mepham,Wales,Center Back,Sweeper CB,0.4257546596563289,456.0,51,39,12,,296.71666666666664,Chris Mepham,Wales,CB,Sweeper CB,0.413503575733384,222.0,25.0,14.0,3.0,,,296.71666666666664,both
4774,Connor Roberts,Wales,Fullback/Wingback,Deep Playmaker,0.5061840314491495,198.0,70,9,3,,215.5333333333333,Connor Roberts,Wales,FB,Deep Playmaker,0.2101511610094113,500.0,92.0,31.0,9.0,,,215.5333333333333,both
4934,Ethan Ampadu,Wales,Defensive Midfield,Holding Anchor,0.4141775625509292,486.0,72,54,14,,265.56666666666666,Ethan Ampadu,Wales,DM,Holding Anchor,0.3010122677212469,391.0,58.0,40.0,7.0,,,265.56666666666666,both
4935,Bryan Mbeumo,Cameroon,Attacking Midfield/Wing,Progressive Winger,0.5105738312788024,184.0,83,54,3,,224.2333333333333,Bryan Mbeumo,Cameroon,AM,Progressive Winger,0.3560385034740623,302.0,82.0,58.0,7.0,,,224.2333333333333,both
5178,Salman Mohammed Al Faraj,Saudi Arabia,Central/Wide Midfield,Ball-Winner,0.4599784023171749,350.0,47,60,12,,47.65,Salman Mohammed Al Faraj,Saudi Arabia,CM,Ball-Winner,0.23849506737096,473.0,43.0,50.0,12.0,,,47.65,both
5183,Yasir Gharsan Al Shahrani,Saudi Arabia,Fullback/Wingback,Wide Creator,0.5022918978141994,208.0,74,16,9,,98.6,Yasir Gharsan Al Shahrani,Saudi Arabia,FB,Wide Creator,0.1360806705488665,544.0,104.0,28.0,18.0,,,98.6,both
5187,Salem Mohammed Al Dawsari,Saudi Arabia,Central/Wide Midfield,Progressive Winger,0.5861207526885708,19.0,3,14,2,,298.54999999999995,Salem Mohammed Al Dawsari,Saudi Arabia,AM,Progressive Winger,0.7361704967246997,15.0,7.0,7.0,1.0,,,298.54999999999995,both
