player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
3009,9,2,69,24,45,0.0456953642384106
3009,9,3,29,13,16,0.019205298013245033
3009,9,4,7,3,4,0.004635761589403974
3009,9,5,2,1,1,0.0013245033112582781
3009,9,6,10,2,8,0.006622516556291391
3009,9,7,2,2,0,0.0013245033112582781
3009,10,0,20,11,9,0.013245033112582781
3009,10,1,43,14,29,0.02847682119205298
3009,10,2,66,26,40,0.04370860927152318
3009,10,3,31,14,17,0.02052980132450331
3009,10,4,23,6,17,0.015231788079470199
3009,10,5,10,2,8,0.006622516556291391
3009,10,6,3,1,2,0.001986754966887417
3009,10,7,5,4,1,0.0033112582781456954
3009,11,0,15,6,9,0.009933774834437087
3009,11,1,40,22,18,0.026490066225165563
3009,11,2,53,26,27,0.035099337748344374
3009,11,3,23,18,5,0.015231788079470199
3009,11,4,13,9,4,0.008609271523178808
3009,11,5,5,5,0,0.0033112582781456954
3009,11,6,7,4,3,0.004635761589403974
3026,0,0,2,0,2,0.0014705882352941176
3026,0,1,3,0,3,0.0022058823529411764
3026,0,2,8,2,6,0.0058823529411764705
3026,0,3,7,2,5,0.005147058823529412
3026,0,4,4,1,3,0.0029411764705882353
3026,0,5,4,0,4,0.0029411764705882353
3026,1,0,8,2,6,0.0058823529411764705
3026,1,1,6,4,2,0.004411764705882353
3026,1,2,6,2,4,0.004411764705882353
3026,1,3,10,2,8,0.007352941176470588
3026,1,4,4,0,4,0.0029411764705882353
3026,1,5,1,1,0,0.0007352941176470588
3026,1,6,1,0,1,0.0007352941176470588
3026,2,0,9,3,6,0.006617647058823529
3026,2,1,19,2,17,0.013970588235294118
3026,2,2,6,2,4,0.004411764705882353
3026,2,3,5,2,3,0.003676470588235294
3026,2,4,10,2,8,0.007352941176470588
3026,2,5,12,3,9,0.008823529411764706
3026,2,6,3,1,2,0.0022058823529411764
3026,2,7,1,0,1,0.0007352941176470588
3026,3,0,17,5,12,0.0125
3026,3,1,19,5,14,0.013970588235294118
3026,3,2,9,4,5,0.006617647058823529
