team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Ecuador,Compact Pressure Block,Short Under Pressure,Short Under Pressure,37,0.0,0.0
Ecuador,High-Intensity Press,Short Under Pressure,Short Under Pressure,10,0.0,0.0
Ecuador,Set-Piece Compact Shape,Short Under Pressure,Short Under Pressure,13,0.0,0.0
Ecuador,Wide Retreating Block,Short Under Pressure,Short Under Pressure,14,0.0,0.0
England,Compact Pressure Block,Short Under Pressure,Patient Build-up,36,0.058704572871742064,0.0016306825797706129
England,Wide Retreating Block,Short Under Pressure,Patient Build-up,36,0.058704572871742064,0.0016306825797706129
England,Compact Pressure Block,Direct Long Play,Patient Build-up,9,0.045083801127541866,0.005009311236393541
England,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,9,0.045083801127541866,0.005009311236393541
England,High-Intensity Press,Short Under Pressure,Patient Build-up,21,0.03424433417518287,0.0016306825797706129
England,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,21,0.03424433417518287,0.0016306825797706129
England,Wide Retreating Block,Direct Long Play,Patient Build-up,4,0.020037244945574163,0.005009311236393541
England,High-Intensity Press,Direct Long Play,Patient Build-up,1,0.005009311236393541,0.005009311236393541
England,Compact Pressure Block,Patient Build-up,Patient Build-up,80,0.0,0.0
England,High-Intensity Press,Patient Build-up,Patient Build-up,3,0.0,0.0
England,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,1,0.0,0.0
England,Wide Retreating Block,Patient Build-up,Patient Build-up,140,0.0,0.0
France,Wide Retreating Block,Short Under Pressure,Patient Build-up,60,0.3667915784004143,0.006113192973340239
France,Compact Pressure Block,Direct Long Play,Patient Build-up,26,0.36212166666792067,0.01392775641030464
France,Compact Pressure Block,Short Under Pressure,Patient Build-up,45,0.27509368380031074,0.006113192973340239
France,Wide Retreating Block,Direct Long Play,Patient Build-up,19,0.2646273717957882,0.013927756410304642
France,High-Intensity Press,Short Under Pressure,Patient Build-up,39,0.2384145259602693,0.006113192973340238
France,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,24,0.14671663136016572,0.006113192973340238
France,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,8,0.11142205128243712,0.01392775641030464
France,High-Intensity Press,Direct Long Play,Patient Build-up,3,0.041783269230913925,0.013927756410304642
France,Compact Pressure Block,Patient Build-up,Patient Build-up,72,0.0,0.0
France,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
France,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,6,0.0,0.0
France,Wide Retreating Block,Patient Build-up,Patient Build-up,227,0.0,0.0
Germany,Compact Pressure Block,Short Under Pressure,Patient Build-up,32,0.5503244870983891,0.01719764022182466
Germany,Wide Retreating Block,Short Under Pressure,Patient Build-up,19,0.3267551642146685,0.017197640221824656
Germany,High-Intensity Press,Short Under Pressure,Patient Build-up,17,0.2923598837710192,0.017197640221824656
Germany,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,15,0.25796460332736987,0.01719764022182466
Germany,Wide Retreating Block,Direct Long Play,Patient Build-up,6,0.11425080381472874,0.019041800635788125
Germany,Compact Pressure Block,Direct Long Play,Patient Build-up,4,0.0761672025431525,0.019041800635788125
Germany,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,3,0.05712540190736436,0.01904180063578812
Germany,High-Intensity Press,Direct Long Play,Patient Build-up,1,0.01904180063578812,0.01904180063578812
Germany,Compact Pressure Block,Patient Build-up,Patient Build-up,67,0.0,0.0
Germany,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Germany,Wide Retreating Block,Patient Build-up,Patient Build-up,80,0.0,0.0
Ghana,Wide Retreating Block,Short Under Pressure,Patient Build-up,36,0.40972579457675506,0.011381272071576529
Ghana,Compact Pressure Block,Short Under Pressure,Patient Build-up,30,0.3414381621472959,0.011381272071576529
Ghana,High-Intensity Press,Short Under Pressure,Patient Build-up,19,0.21624416935995408,0.01138127207157653
Ghana,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,14,0.15933780900207142,0.01138127207157653
Ghana,Compact Pressure Block,Direct Long Play,Patient Build-up,10,0.07148227776934327,0.007148227776934327
Ghana,Wide Retreating Block,Direct Long Play,Patient Build-up,8,0.05718582221547462,0.007148227776934328
Ghana,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,8,0.057185822215474615,0.007148227776934327
Ghana,Compact Pressure Block,Patient Build-up,Patient Build-up,41,0.0,0.0
Ghana,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Ghana,Wide Retreating Block,Patient Build-up,Patient Build-up,58,0.0,0.0
Iran,Compact Pressure Block,Short Under Pressure,Patient Build-up,31,0.28230523590096585,0.009106620512934382
Iran,Wide Retreating Block,Short Under Pressure,Patient Build-up,19,0.17302578974575328,0.009106620512934384
Iran,Compact Pressure Block,Direct Long Play,Patient Build-up,11,0.11990241929170496,0.010900219935609542
Iran,Wide Retreating Block,Direct Long Play,Patient Build-up,11,0.11990241929170496,0.010900219935609542
Iran,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,10,0.09106620512934382,0.009106620512934382
Iran,High-Intensity Press,Short Under Pressure,Patient Build-up,9,0.08195958461640944,0.009106620512934382
Iran,High-Intensity Press,Direct Long Play,Patient Build-up,4,0.04360087974243817,0.010900219935609542
Iran,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,4,0.04360087974243817,0.010900219935609542
Iran,Compact Pressure Block,Patient Build-up,Patient Build-up,46,0.0,0.0
Iran,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,2,0.0,0.0
Iran,Wide Retreating Block,Patient Build-up,Patient Build-up,48,0.0,0.0
Japan,Compact Pressure Block,Short Under Pressure,Patient Build-up,47,0.6860739245876608,0.014597317544418315
Japan,Wide Retreating Block,Short Under Pressure,Patient Build-up,40,0.5838927017767326,0.014597317544418315
Japan,High-Intensity Press,Short Under Pressure,Patient Build-up,22,0.3211409859772029,0.014597317544418315
Japan,Wide Retreating Block,Direct Long Play,Patient Build-up,14,0.21182333210281473,0.01513023800734391
Japan,Compact Pressure Block,Direct Long Play,Patient Build-up,13,0.1966930940954708,0.01513023800734391
Japan,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,11,0.16057049298860146,0.014597317544418315
Japan,High-Intensity Press,Direct Long Play,Patient Build-up,5,0.07565119003671955,0.015130238007343911
Japan,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,4,0.06052095202937564,0.01513023800734391
Japan,Compact Pressure Block,Patient Build-up,Patient Build-up,40,0.0,0.0
Japan,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,4,0.0,0.0
Japan,Wide Retreating Block,Patient Build-up,Patient Build-up,76,0.0,0.0
Mexico,Wide Retreating Block,Direct Long Play,Patient Build-up,15,0.11531811924431631,0.007687874616287754
Mexico,Compact Pressure Block,Short Under Pressure,Patient Build-up,27,0.07826511484632279,0.0028987079572712145
Mexico,Compact Pressure Block,Direct Long Play,Patient Build-up,8,0.061502996930302034,0.007687874616287754
Mexico,Wide Retreating Block,Short Under Pressure,Patient Build-up,21,0.060872867102695495,0.002898707957271214
Mexico,High-Intensity Press,Short Under Pressure,Patient Build-up,19,0.05507545118815307,0.002898707957271214
Mexico,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,7,0.05381512231401428,0.007687874616287754
