Global Rank,Team Rank,Player,Team,Position Group,Tournament Performance Score
201,4,Jakub Kamiński,Poland,Central/Wide Midfield,59
202,7,Mathias Jensen,Denmark,Central/Wide Midfield,59
203,5,Moisés Isaac Caicedo Corozo,Ecuador,Defensive Midfield,59
204,10,Zakaria Aboukhlal,Morocco,Forward,59
205,5,Edinson Roberto Cavani Gómez,Uruguay,Forward,59
206,6,Remo Freuler,Switzerland,Defensive Midfield,58.9
207,10,Carlos Soler Barragán,Spain,Central/Wide Midfield,58.9
208,6,Thorgan Hazard,Belgium,Attacking Midfield/Wing,58.9
209,4,Jesús Daniel Gallardo Vasconcelos,Mexico,Fullback/Wingback,58.8
210,6,In-Beom Hwang,South Korea,Defensive Midfield,58.8
211,8,Kasper Schmeichel,Denmark,Goalkeeper,58.8
212,10,Aurélien Djani Tchouaméni,France,Defensive Midfield,58.8
213,8,Kaoru Mitoma,Japan,Fullback/Wingback,58.8
214,14,Frederico Rodrigues Santos,Brazil,Defensive Midfield,58.8
215,15,Joško Gvardiol,Croatia,Center Back,58.8
216,9,Andreas Christensen,Denmark,Center Back,58.8
217,6,Nawaf Shaker Al Abid,Saudi Arabia,Attacking Midfield/Wing,58.8
218,7,Young-Gwon Kim,South Korea,Center Back,58.7
219,5,Naïm Sliti,Tunisia,Attacking Midfield/Wing,58.7
220,11,Rúben Diogo Da Silva Neves,Portugal,Defensive Midfield,58.7
221,11,Kingsley Coman,France,Attacking Midfield/Wing,58.7
222,12,Kléper Laveran Lima Ferreira,Portugal,Center Back,58.7
223,5,Héctor Alfredo Moreno Herrera,Mexico,Center Back,58.7
224,4,Morteza Pouraliganji,Iran,Center Back,58.7
225,7,Nikola Milenković,Serbia,Center Back,58.7
226,13,Mason Mount,England,Attacking Midfield/Wing,58.7
227,6,Richie Laryea,Canada,Fullback/Wingback,58.7
228,5,Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,Center Back,58.6
229,8,Vanja Milinković Savić,Serbia,Goalkeeper,58.6
230,10,Martin Braithwaite Christensen,Denmark,Forward,58.6
231,6,Luis Gerardo Chávez Magallón,Mexico,Defensive Midfield,58.6
232,5,Matty Cash,Poland,Fullback/Wingback,58.6
233,7,Ricardo Iván Rodríguez Araya,Switzerland,Fullback/Wingback,58.6
234,7,Sultan Abdullah Salim Al Ghannam,Saudi Arabia,Fullback/Wingback,58.6
235,9,Vincent Janssen,Netherlands,Forward,58.5
236,11,Rodrigo Hernández Cascante,Spain,Center Back,58.5
237,5,Ali Gholizadeh,Iran,Central/Wide Midfield,58.5
238,3,Pedro Miguel Correia,Qatar,Center Back,58.5
239,7,Orbelín Pineda Alvarado,Mexico,Attacking Midfield/Wing,58.4
240,6,Iliman Ndiaye,Senegal,Attacking Midfield/Wing,58.4
241,13,Otávio Edmilson da Silva Monteiro,Portugal,Central/Wide Midfield,58.4
242,4,Jackson Irvine,Australia,Forward,58.4
243,6,Facundo Pellistri Rebollo,Uruguay,Attacking Midfield/Wing,58.3
244,6,Bryan Mbeumo,Cameroon,Attacking Midfield/Wing,58.3
245,7,Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,Forward,58.3
246,16,Mario Pašalić,Croatia,Attacking Midfield/Wing,58.3
247,7,Sergio Rochet Álvarez,Uruguay,Goalkeeper,58.3
248,12,Anssumane Fati,Spain,Attacking Midfield/Wing,58.3
249,8,Ui-Jo Hwang,South Korea,Forward,58.3
250,10,Steven Berghuis,Netherlands,Defensive Midfield,58.3
251,4,Akram Hassan Afif,Qatar,Forward,58.2
252,8,Carlos Uriel Antuna Romero,Mexico,Attacking Midfield/Wing,58.2
253,9,Min Jae Kim,South Korea,Center Back,58.2
254,5,Harry Souttar,Australia,Center Back,58.2
255,6,Aziz Eraltay Behich,Australia,Fullback/Wingback,58.2
256,11,Walid Cheddira,Morocco,Forward,58.2
257,14,Kieran Trippier,England,Fullback/Wingback,58.2
258,7,Kye Rowles,Australia,Center Back,58.1
259,2,Yeltsin Ignacio Tejeda Valverde,Costa Rica,Central/Wide Midfield,58.1
260,11,Mikkel Damsgaard,Denmark,Attacking Midfield/Wing,58.1
261,8,Federico Santiago Valverde Dipetta,Uruguay,Defensive Midfield,58.1
262,13,Sergio Busquets i Burgos,Spain,Defensive Midfield,58.1
263,8,Riley McGree,Australia,Forward,58.1
264,15,Marcos Aoás Corrêa,Brazil,Center Back,58.1
265,3,Iñaki Williams Arthuer,Ghana,Forward,58
266,7,Thibaut Courtois,Belgium,Goalkeeper,58
267,4,Brennan Johnson,Wales,Attacking Midfield/Wing,58
268,12,Joachim Andersen,Denmark,Center Back,58
269,12,Abdelhamid Sabiri,Morocco,Central/Wide Midfield,58
270,13,Rasmus Nissen Kristensen,Denmark,Fullback/Wingback,58
271,8,Krépin Diatta,Senegal,Attacking Midfield/Wing,57.9
272,11,Wout Weghorst,Netherlands,Forward,57.9
273,9,Pape Gueye,Senegal,Defensive Midfield,57.9
274,8,Mohammed Al Burayk,Saudi Arabia,Fullback/Wingback,57.9
275,7,Karl Brillant Toko Ekambi,Cameroon,Attacking Midfield/Wing,57.9
276,9,Mathías Olivera Miramontes,Uruguay,Fullback/Wingback,57.9
277,11,Tim Ream,United States,Center Back,57.9
278,4,Mohamed Salisu,Ghana,Center Back,57.9
279,6,Saman Ghoddos,Iran,Attacking Midfield/Wing,57.9
280,8,Djibril Sow,Switzerland,Attacking Midfield/Wing,57.9
281,9,Abdulelah Saad Hameed Al-Malki,Saudi Arabia,Defensive Midfield,57.8
282,6,Mohamed Dräger,Tunisia,Fullback/Wingback,57.8
283,9,Wataru Endo,Japan,Defensive Midfield,57.8
284,9,Mathew Ryan,Australia,Goalkeeper,57.8
285,5,Kamaldeen Sulemana,Ghana,Attacking Midfield/Wing,57.8
286,3,Kendall Jamaal Waston Manley,Costa Rica,Center Back,57.8
287,12,Virgil van Dijk,Netherlands,Center Back,57.8
288,6,Przemysław Frankowski,Poland,Central/Wide Midfield,57.8
289,5,Hassan Khalid Al Heidos,Qatar,Central/Wide Midfield,57.8
290,7,David Junior Hoilett,Canada,Central/Wide Midfield,57.8
291,7,Aïssa Bilal Laïdouni,Tunisia,Defensive Midfield,57.8
292,9,Raúl Alonso Jiménez Rodríguez,Mexico,Forward,57.8
293,12,Ibrahima Konaté,France,Center Back,57.7
294,10,Saud Abdullah Abdul Hamid,Saudi Arabia,Fullback/Wingback,57.7
295,15,Declan Rice,England,Defensive Midfield,57.7
296,11,Cristian Gabriel Romero,Argentina,Center Back,57.7
297,10,Sang-Ho Na,South Korea,Attacking Midfield/Wing,57.7
298,9,Granit Xhaka,Switzerland,Defensive Midfield,57.7
299,14,José Diogo Dalot Teixeira,Portugal,Fullback/Wingback,57.6
300,10,Hidemasa Morita,Japan,Defensive Midfield,57.6
301,11,Kang-In Lee,South Korea,Central/Wide Midfield,57.6
302,10,Yann Sommer,Switzerland,Goalkeeper,57.6
303,12,Alejandro Darío Gómez,Argentina,Central/Wide Midfield,57.6
304,7,Arkadiusz Milik,Poland,Central/Wide Midfield,57.6
305,10,Garang Kuol,Australia,Forward,57.6
306,16,Thiago Emiliano da Silva,Brazil,Center Back,57.6
307,12,Chang-Hoon Kwon,South Korea,Attacking Midfield/Wing,57.5
308,9,Filip Mladenović,Serbia,Fullback/Wingback,57.5
309,11,Hassan Mohammed Al-Tambakti,Saudi Arabia,Center Back,57.5
310,6,Boualem Khoukhi,Qatar,Center Back,57.5
311,11,Hiroki Sakai,Japan,Fullback/Wingback,57.5
312,7,Mehdi Torabi,Iran,Central/Wide Midfield,57.5
313,11,Fran Karačić,Australia,Fullback/Wingback,57.5
314,15,Matheus Luiz Nunes,Portugal,Central/Wide Midfield,57.5
315,5,Neco Williams,Wales,Fullback/Wingback,57.4
316,7,Abdelkarim Hassan Al Haj Fadlalla,Qatar,Center Back,57.4
317,13,Nayef Aguerd,Morocco,Center Back,57.4
318,17,Danilo Luiz da Silva,Brazil,Fullback/Wingback,57.4
319,8,Homam Alamin Ahmed,Qatar,Fullback/Wingback,57.4
320,12,Manuel Neuer,Germany,Goalkeeper,57.4
321,14,Achraf Dari,Morocco,Center Back,57.4
322,10,José María Giménez de Vargas,Uruguay,Center Back,57.4
323,6,Jackson Gabriel Porozo Vernaza,Ecuador,Center Back,57.3
324,6,Osman Bukari,Ghana,Attacking Midfield/Wing,57.3
325,15,Selim Amallah,Morocco,Central/Wide Midfield,57.3
326,17,Ante Budimir,Croatia,Forward,57.3
327,18,Gleison Bremer Silva Nascimento,Brazil,Center Back,57.3
328,14,Nicholas Williams Arthuer,Spain,Attacking Midfield/Wing,57.3
329,10,Luka Jović,Serbia,Forward,57.3
330,15,César Azpilicueta Tanco,Spain,Fullback/Wingback,57.3
331,8,Kamil Glik,Poland,Center Back,57.3
332,14,Pierre-Emile Højbjerg,Denmark,Central/Wide Midfield,57.3
333,8,Leandro Trossard,Belgium,Forward,57.3
334,9,Thomas Meunier,Belgium,Fullback/Wingback,57.3
335,11,Edimilson Fernandes,Switzerland,Fullback/Wingback,57.3
336,7,Daniel Amartey,Ghana,Center Back,57.2
337,9,Bartosz Bereszyński,Poland,Fullback/Wingback,57.2
338,7,Angelo Smit Preciado Quiñónez,Ecuador,Fullback/Wingback,57.2
339,13,Seung-Gyu Kim,South Korea,Goalkeeper,57.2
340,14,Jae-Sung Lee,South Korea,Attacking Midfield/Wing,57.2
341,12,Giovanni Reyna,United States,Attacking Midfield/Wing,57.2
342,12,Haris Seferović,Switzerland,Forward,57.2
343,11,Strahinja Pavlović,Serbia,Center Back,57.2
344,8,Anis Ben Slimane,Tunisia,Attacking Midfield/Wing,57.2
345,6,Harry Wilson,Wales,Central/Wide Midfield,57.2
346,8,Ehsan Hajsafi,Iran,Fullback/Wingback,57.2
347,7,Connor Roberts,Wales,Fullback/Wingback,57.1
348,4,Joel Nathaniel Campbell Samuels,Costa Rica,Forward,57.1
349,10,Eden Hazard,Belgium,Attacking Midfield/Wing,57.1
350,10,Jorge Eduardo Sánchez Ramos,Mexico,Fullback/Wingback,57.1
351,12,Ko Itakura,Japan,Center Back,57.1
352,8,Jeremy Leonel Sarmiento Morante,Ecuador,Central/Wide Midfield,57.1
353,13,Mario Götze,Germany,Central/Wide Midfield,57.1
354,13,Takehiro Tomiyasu,Japan,Center Back,57.1
355,9,Felix Eduardo Torres Caicedo,Ecuador,Center Back,57.1
356,12,Abdulrahman Al-Obood,Saudi Arabia,Attacking Midfield/Wing,57.1
357,16,Jordan Pickford,England,Goalkeeper,57.1
358,14,Takumi Minamino,Japan,Attacking Midfield/Wing,57.1
359,19,Éverton Augusto de Barros Ribeiro,Brazil,Attacking Midfield/Wing,57.1
360,8,Ben Davies,Wales,Center Back,57.1
361,8,Jordan Ayew,Ghana,Attacking Midfield/Wing,57
362,9,Ali Abdi,Tunisia,Fullback/Wingback,57
363,10,Wajdi Kechrida,Tunisia,Fullback/Wingback,57
364,9,Mohammed Muntari,Qatar,Forward,57
365,15,Shogo Taniguchi,Japan,Center Back,57
366,8,Ngoran Suiru Fai Collins,Cameroon,Fullback/Wingback,57
367,13,Lisandro Martínez,Argentina,Center Back,57
368,9,Christopher Wooh,Cameroon,Center Back,56.9
369,11,César Jasib Montes Castro,Mexico,Center Back,56.9
370,11,Maximiliano Gómez González,Uruguay,Forward,56.9
371,20,Alex Sandro Lobo Silva,Brazil,Fullback/Wingback,56.9
372,11,Amadou Onana,Belgium,Defensive Midfield,56.9
373,9,Ali Karimi,Iran,Defensive Midfield,56.9
374,10,André-Frank Zambo Anguissa,Cameroon,Defensive Midfield,56.9
375,21,Alisson Ramsés Becker,Brazil,Goalkeeper,56.9
376,9,Thomas Teye Partey,Ghana,Defensive Midfield,56.9
377,10,Kalidou Koulibaly,Senegal,Center Back,56.9
378,9,Chris Mepham,Wales,Center Back,56.9
