player_name,team,position,minutes,vaep_off_p90,vaep_def_p90,vaep_per_touch,xt_p90,final_player_rating,team_rank
Harry Kane,England,Center Forward,421.51666666666665,0.27053968261159655,0.004479927735961602,0.003081481909135253,0.0474486139333343,0.18276136579423552,1
Luke Shaw,England,Left Back,457.16666666666663,0.27114861528543005,-0.0019389844216638754,0.0013199664261749438,0.08485616746219675,0.12229645037244247,2
Jude Bellingham,England,Right Defensive Midfield,441.76666666666665,0.2709064310256195,0.029413781882778326,0.0018266757454105267,0.042008265429276444,0.1068960116949414,3
Harry Maguire,England,Left Center Back,453.71666666666664,0.1483488162187934,0.0018629056483451599,0.0006871704147995417,0.03461534294571143,0.046192690512777905,4
Declan Rice,England,Left Defensive Midfield,449.54999999999995,0.07222055774842272,-0.0291006524233265,0.0002489987596518561,0.0221619917447548,0.027644522153968384,5
John Stones,England,Right Center Back,464.8833333333333,0.07740137499382911,-0.025016358470457176,0.00021629737186345936,0.010457877317955175,0.01396780216436319,6
Jordan Pickford,England,Goalkeeper,486.3333333333333,-0.01553858053568729,-0.09944453850877089,-0.0016930100987573365,0.003110630426045412,-0.055228103326297705,7
Kylian Mbappé Lottin,France,Left Center Forward,654.3000000000001,0.6218037962575796,0.02132184069324733,0.00462008239192936,0.13431257253491546,0.3126841904685295,1
Olivier Giroud,France,Center Forward,432.6166666666667,0.4137740352894322,0.06174064099430822,0.008560781281937196,0.007546924718460296,0.23768881152749144,2
Ousmane Dembélé,France,Right Wing,448.0,0.33958449466516477,0.011057762023613447,0.002727217552023831,0.11217960400856512,0.2019578807881487,3
Antoine Griezmann,France,Center Attacking Midfield,586.0500000000001,0.35411387415676276,-0.01088148209520887,0.002571938925555219,0.11657978897791325,0.19953159862899833,4
Adrien Rabiot,France,Left Defensive Midfield,529.25,0.2675225231086023,-0.021068105638069205,0.001807093383849815,0.012572941833865528,0.09145405647734989,5
Theo Bernard François Hernández,France,Left Back,548.5,0.16905233656022162,-0.00978904507641762,0.0011234042615594969,0.046580351358599,0.08496749988190087,6
Jules Koundé,France,Right Back,514.4166666666666,0.09585395704188027,-0.07191120187460807,0.0001805416637930852,0.018481195192831985,0.03832165000071781,7
Ibrahima Konaté,France,Left Center Back,330.8166666666667,0.058678673084358084,-0.035332138291750255,0.00013514300644458234,0.02896976998390273,0.005225978390281417,8
Raphaël Varane,France,Right Center Back,544.6,0.0325100527589991,-0.02238361655011191,8.236047131660637e-05,0.011997826788464488,0.0018736229820614635,9
Aurélien Djani Tchouaméni,France,Right Defensive Midfield,662.2166666666667,-0.02381191360428522,-0.019885925422378815,-0.0002498267918568077,0.0374952516056729,-0.0005714361813140816,10
Dayotchanculle Upamecano,France,Left Center Back,518.2333333333333,0.001788932176194165,-0.06603350651539203,-0.0004007906573779179,0.019735708873202237,-0.02097059077930174,11
Hugo Lloris,France,Goalkeeper,614.2,-0.012541892936088775,-0.05200011990202273,-0.001338794470961435,0.006071211518550037,-0.03811522431579237,12
Mohamed Salisu,Ghana,Left Center Back,301.20000000000005,0.05872173485522036,-0.045584425883482674,0.00011787183384829882,0.018690688460614197,0.0010309892652752796,1
