layout,target,model,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,target_rank
Context + History,transition_box_15,Soft Vote: All,9685,0.026742385131646878,0.12457345712208232,0.026096911687981464,0.5581833538549006,0.034213698937337444,0.0016367494241715773,5.0
Context + History,transition_box_15,Soft Vote: LR + XGB,9685,0.026742385131646878,0.1251225131658705,0.026111882795900734,0.552917790027911,0.03844968687613527,0.0022682903302842896,6.0
Player-Aware,transition_box_15,XGBoost,9685,0.026742385131646878,0.12537826597690582,0.02608671970665455,0.5704489840390541,0.036034140277412766,0.005357480658026904,7.0
Context + History,transition_box_15,Soft Vote: Boosting,9685,0.026742385131646878,0.12565099220619835,0.02613019873922795,0.5531854715495708,0.033485336293582524,0.00363942095768375,8.0
Context + History,transition_box_15,Logistic Regression,9685,0.026742385131646878,0.12599993290316955,0.026222081405177223,0.5594830531176808,0.033168459850793905,0.0026086335361489806,9.0
Context + History,transition_box_15,XGBoost,9685,0.026742385131646878,0.12720564007759094,0.026183640584349632,0.539182881162512,0.03530637719030484,0.0034360561014052595,10.0
Player-Aware,transition_box_15,Random Forest,9685,0.026742385131646878,0.1289571588541352,0.026522735314043464,0.5368908965344357,0.02875222243153764,0.010309667392784622,11.0
Player-Aware,transition_box_15,Soft Vote: LR + XGB,9685,0.026742385131646878,0.12973340278825804,0.027176938932982394,0.5884520512146229,0.035274999179591995,0.007985896540465208,12.0
Context + History,transition_box_15,Random Forest,9685,0.026742385131646878,0.12991791907716288,0.026377431023758006,0.5416366625787377,0.032979889061370435,0.004018249997569508,13.0
Context + History,transition_box_15,Histogram Gradient Boosting,9685,0.026742385131646878,0.13105980137497203,0.026360941156639492,0.5558551185540365,0.03282014916299496,0.00830344937471501,14.0
Player-Aware,transition_box_15,Histogram Gradient Boosting,9685,0.026742385131646878,0.1319034036812627,0.026272800203535892,0.5514243442314735,0.032032904149307886,0.010894200585806044,15.0
Player-Aware,transition_box_15,Logistic Regression,9685,0.026742385131646878,0.14812524037045074,0.031046738275716256,0.5815689291182607,0.03471088934018421,0.023431667496979024,16.0
Player-Aware,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08097189845949034,0.01504727189444041,0.5412770187233428,0.015629691955136624,0.001152917358983964,1.0
Context + History,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08127511004884931,0.01485172601089484,0.511818477553676,0.01699599811172384,0.0008646577593812872,2.0
Player-Aware,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08165241397872258,0.014879680113841763,0.5289293717920914,0.015082414719956309,0.0035691974549225984,3.0
Player-Aware,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08177373035505556,0.015229630963941785,0.5624188534663486,0.017368693023571205,0.003706812937330251,4.0
Context + History,transition_shot_15,Gradient Boosting,9685,0.014971605575632421,0.08179448515972541,0.01493032530475325,0.47553278392250414,0.013887659149668464,0.0005033944917307121,5.0
Context + History,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.08209539187166381,0.014932451865944283,0.5201312079809152,0.016411028485154897,0.00025897065235972106,6.0
Context + History,transition_shot_15,XGBoost,9685,0.014971605575632421,0.0821523368358612,0.014869247563183308,0.5119204077206679,0.016732364302881456,0.002139308646121281,7.0
Context + History,transition_shot_15,Soft Vote: All,9685,0.014971605575632421,0.08215576596458217,0.014888314382986927,0.4731204366370274,0.014257408204501438,0.000722260445601969,8.0
Context + History,transition_shot_15,Soft Vote: Boosting,9685,0.014971605575632421,0.08263141886587909,0.014894464593217515,0.48296175811465336,0.014227337889947872,0.0025036269133975183,9.0
Player-Aware,transition_shot_15,XGBoost,9685,0.014971605575632421,0.08307050913572311,0.014913813211023808,0.5199591556423047,0.015102301314578171,0.0034691237286310194,10.0
Player-Aware,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08668691200636985,0.01531091716379937,0.5097249331309188,0.014530332857197768,0.009134873584081242,11.0
Player-Aware,transition_shot_15,Soft Vote: LR + XGB,9685,0.014971605575632421,0.08868667615406176,0.01703449911622955,0.5734171907756813,0.018963089768073177,0.008307376348168055,12.0
Context + History,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.08893537440727037,0.015051711242279714,0.4809014675052411,0.013544385415479143,0.006071450678537419,13.0
Context + History,transition_shot_15,Random Forest,9685,0.014971605575632421,0.08898885919631853,0.015143374177309717,0.45596183040555194,0.01346628484275734,0.003465629665788035,14.0
Player-Aware,transition_shot_15,Histogram Gradient Boosting,9685,0.014971605575632421,0.0896213491032325,0.014928302729730603,0.5276953661534013,0.015589073227232957,0.00865716623726559,15.0
Player-Aware,transition_shot_15,Logistic Regression,9685,0.014971605575632421,0.10935442024737645,0.023987913123360825,0.5877850068676354,0.019744503643249825,0.01994503628364152,16.0
