layout,target,model,architecture,rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece,recall_at_5pct,lift_at_5pct,recall_at_10pct,lift_at_10pct,recall_at_20pct,lift_at_20pct,pr_lift_over_prevalence,pr_rank
Enhanced History,transition_box_15,Logistic Regression,Direct,9685,0.026742385131646878,0.12561540326384205,0.026197161624455956,0.5589427747288982,0.03339942424819815,0.002415088917384654,0.0694980694980695,1.3878119651315526,0.14671814671814673,1.466424407600878,0.24324324324324326,1.216216216216216,1.2489321383930465,27.0
Enhanced History,transition_box_15,Logistic Regression,Hierarchical: final third × box,9685,0.026742385131646878,0.12556609669668514,0.026169643110030748,0.5616232764545941,0.03339682999947262,0.002282984856928999,0.07335907335907337,1.4649126298610833,0.14671814671814673,1.466424407600878,0.2548262548262548,1.274131274131274,1.2488351295169586,28.0
Enhanced History,transition_box_15,XGBoost,Hierarchical: final third × box,9685,0.026742385131646878,0.12740350169343373,0.026177084712515022,0.5350171258828166,0.0333537813962084,0.002728818144330013,0.08494208494208494,1.6962146240496754,0.15444015444015444,1.5436046395798717,0.25868725868725867,1.2934362934362935,1.2472253776921942,29.0
Enhanced History,transition_box_15,Random Forest,Direct,9685,0.026742385131646878,0.13008405181081417,0.026403258644791372,0.5419348602034789,0.03291014396503252,0.004585216128674873,0.08108108108108109,1.6191139593201447,0.15057915057915058,1.505014523590375,0.277992277992278,1.3899613899613898,1.230636078383552,30.0
Enhanced History,transition_box_15,Logistic Regression: Weighted,Direct,9685,0.026742385131646878,0.19418455874569676,0.04248852171026036,0.5543186634847997,0.032804536398695135,0.10012221413312396,0.06563706563706563,1.310711300402022,0.138996138996139,1.3892441756218845,0.23938223938223938,1.196911196911197,1.2266870078044878,31.0
Rest-Defense Player-Aware,transition_box_15,Gradient Boosting,Direct,9685,0.026742385131646878,0.12363637238796038,0.026134733842430247,0.5755709788173187,0.032779354085507036,0.0016841130920985342,0.05405405405405406,1.07940930621343,0.1274131274131274,1.2734738276533941,0.2548262548262548,1.274131274131274,1.2257453448576665,32.0
Enhanced History,transition_box_15,Gradient Boosting,Direct,9685,0.026742385131646878,0.12415056106143711,0.026126223057504012,0.5570479090530014,0.032591072448890465,0.0011712301520386084,0.06177606177606178,1.2336106356724914,0.13127413127413126,1.312063943642891,0.2548262548262548,1.274131274131274,1.2187047747780082,33.0
Rest-Defense Player-Aware,transition_box_15,Logistic Regression: Weighted,Direct,9685,0.026742385131646878,0.4322838361188801,0.12466047964305461,0.5530562389251122,0.03251203966355022,0.1712642014778962,0.0694980694980695,1.3878119651315526,0.11969111969111969,1.1962935956744005,0.2277992277992278,1.138996138996139,1.2157494368397062,34.0
Enhanced History,transition_box_15,Gradient Boosting,Hierarchical: final third × box,9685,0.026742385131646878,0.12489268645078908,0.026130014159931304,0.5516168619287651,0.032373471936853554,0.0011232237984444531,0.06563706563706563,1.310711300402022,0.14285714285714285,1.4278342916113813,0.2548262548262548,1.274131274131274,1.2105678598780951,35.0
Enhanced History,transition_box_15,Gradient Boosting: Weighted,Hierarchical: final third × box,9685,0.026742385131646878,0.15428628049172316,0.030786584720113218,0.5456223933308593,0.032295429217031574,0.05807669049387994,0.07335907335907337,1.4649126298610833,0.13513513513513514,1.3506540596323877,0.25096525096525096,1.2548262548262548,1.2076495442739412,36.0
Rest-Defense Player-Aware,transition_box_15,Histogram Gradient Boosting,Direct,9685,0.026742385131646878,0.13153074426010622,0.026267817875741107,0.5456185020157013,0.03152884295395238,0.010829252390419354,0.07722007722007722,1.542013294590614,0.11969111969111969,1.1962935956744005,0.23938223938223938,1.196911196911197,1.1789839537028137,37.0
Enhanced History,transition_box_15,Histogram Gradient Boosting,Direct,9685,0.026742385131646878,0.13042894611866487,0.02637099282743278,0.541958617706549,0.0307818578168502,0.007017932236673228,0.06177606177606178,1.2336106356724914,0.11969111969111969,1.1962935956744005,0.23938223938223938,1.196911196911197,1.1510513241551898,38.0
Enhanced History,transition_box_15,Histogram Gradient Boosting,Hierarchical: final third × box,9685,0.026742385131646878,0.13332301017523746,0.026391504381866434,0.5238936991005737,0.029765840095106855,0.005967741106858132,0.06563706563706563,1.310711300402022,0.11196911196911197,1.119113363695407,0.23938223938223938,1.196911196911197,1.1130585379193432,39.0
