layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,0,12,1865,0.13083109919571045,0.26162089076239997,0.08367985458428116,0.8871800447001952,0.5003984115616098,0.020534612133742487
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,1,13,1966,0.12054933875890132,0.24180139480620938,0.07572792495516155,0.8942292439960661,0.5339675823167539,0.008508198440723414
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,2,13,1945,0.119280205655527,0.23640564207701306,0.0727098998637168,0.8961793183968435,0.5658257657302488,0.0076467094626199465
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,3,13,1975,0.13063291139240507,0.25038141986584134,0.07777290687467006,0.8959718817298966,0.5868177900798206,0.014839284645403083
Tactical + Shape,Retrospective,shot,Soft Vote: LR + XGB,4,13,1934,0.12202688728024819,0.25037504644080755,0.07955008176638126,0.888487951927492,0.5003618066720321,0.01957729000573291
Tactical + Shape,Retrospective,box_entry,Logistic Regression,0,12,1865,0.33351206434316355,0.3738898611717744,0.11850931367927593,0.8980709982331926,0.8325537736278832,0.021505266256295362
Tactical + Shape,Retrospective,box_entry,Random Forest,0,12,1865,0.33351206434316355,0.36628769304608266,0.11769100731852336,0.9021077519640534,0.8411288479199768,0.024570985983042876
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,0,12,1865,0.33351206434316355,0.3762166571186724,0.11934490569094286,0.8979183750546469,0.8343484190887295,0.025993848991874385
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,0,12,1865,0.33351206434316355,0.3610305337204504,0.1156469636228314,0.9048937716808986,0.8466809894697486,0.03361844493957152
Tactical + Shape,Retrospective,box_entry,XGBoost,0,12,1865,0.33351206434316355,0.36436423659324646,0.11617788672447205,0.9031968088821517,0.8427765217008091,0.025020458031915153
Tactical + Shape,Retrospective,box_entry,Logistic Regression,1,13,1966,0.3158697863682604,0.37009450544551403,0.11895639912253976,0.896845835653012,0.8113539563913725,0.02016662832072643
Tactical + Shape,Retrospective,box_entry,Random Forest,1,13,1966,0.3158697863682604,0.3633702987492394,0.11620744035281112,0.90048428904094,0.82346345022704,0.022690956907179687
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,1,13,1966,0.3158697863682604,0.371668487410939,0.11759349409088386,0.8982226771785524,0.8155169948454296,0.03247136054633653
Tactical + Shape,Retrospective,box_entry,Histogram Gradient Boosting,1,13,1966,0.3158697863682604,0.3563888356082291,0.11367875580409714,0.9041826051038917,0.8277435509629533,0.019137964192773776
Tactical + Shape,Retrospective,box_entry,XGBoost,1,13,1966,0.3158697863682604,0.35720357298851013,0.11390382796525955,0.9037204652527102,0.8283600288827535,0.02234655195356385
Tactical + Shape,Retrospective,box_entry,Logistic Regression,2,13,1945,0.3038560411311054,0.3557473040992842,0.1127177102360716,0.9021536738922338,0.8174118179513833,0.016647294327595916
Tactical + Shape,Retrospective,box_entry,Random Forest,2,13,1945,0.3038560411311054,0.3572330387964462,0.1126895604640121,0.9013201468607148,0.8188326411040214,0.01507890315624198
Tactical + Shape,Retrospective,box_entry,Gradient Boosting,2,13,1945,0.3038560411311054,0.35946993101428837,0.11264372177609225,0.9022761411322471,0.8172822785690278,0.031980860049365685
