player_id,player_name,team,global_rank_v3,tournament_impact_rank_outfield_v4,uncoupled_raw_rescaled_rank,released_minus_uncoupled_rank
5237,Hakim Ziyech,Morocco,66.0,26,82,-56
5239,Alireza Jahanbakhsh,Iran,389.0,535,461,74
5240,Saman Ghoddos,Iran,264.0,377,310,67
5245,Achraf Hakimi Mouh,Morocco,79.0,21,13,8
5246,Luis Alberto Suárez Díaz,Uruguay,64.0,228,112,116
5248,José Martín Cáceres Silva,Uruguay,481.0,436,266,170
5249,Diego Roberto Godín Leal,Uruguay,471.0,416,333,83
5255,Matías Vecino Falero,Uruguay,402.0,404,494,-90
5258,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,87.0,247,151,96
5259,José María Giménez de Vargas,Uruguay,304.0,361,537,-176
5260,Rodrigo Bentancur Colmán,Uruguay,181.0,224,316,-92
5264,Guillermo Varela Olivera,Uruguay,404.0,385,221,164
5456,Mateo Kovačić,Croatia,29.0,4,45,-41
5460,Andrej Kramarić,Croatia,20.0,13,27,-14
5463,Luka Modrić,Croatia,56.0,7,56,-49
5469,Marcelo Brozović,Croatia,98.0,15,43,-28
5474,Ivan Perišić,Croatia,5.0,3,4,-1
5476,Benjamin Pavard,France,508.0,442,426,16
5477,Ousmane Dembélé,France,38.0,54,79,-25
5479,Aziz Eraltay Behich,Australia,241.0,179,529,-350
5481,Mathew Leckie,Australia,154.0,144,267,-123
5485,Raphaël Varane,France,386.0,152,550,-398
5487,Antoine Griezmann,France,9.0,5,18,-13
5490,Jackson Irvine,Australia,229.0,87,104,-17
5503,Lionel Andrés Messi Cuccittini,Argentina,1.0,1,1,0
5507,Nicolás Alejandro Tagliafico,Argentina,75.0,92,261,-169
5527,Thomas Delaney,Denmark,449.0,468,434,34
5534,Simon Thorup Kjær,Denmark,532.0,500,483,17
5537,Fabian Lukas Schär,Switzerland,409.0,355,176,179
5538,Denis Lemi Zakaria Lako Lado,Switzerland,473.0,508,369,139
5539,Carlos Henrique Casimiro,Brazil,132.0,42,91,-49
5543,Haris Seferović,Switzerland,323.0,470,352,118
5544,Ricardo Iván Rodríguez Araya,Switzerland,220.0,149,167,-18
5545,Breel-Donald Embolo,Switzerland,16.0,31,20,11
5549,Manuel Obafemi Akanji,Switzerland,166.0,109,273,-164
