layout,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,0,12,1865,0.0005361930294906167,0.005267708482251063,0.0005368272141075362,0.7956008583690988,0.002617801047120419,0.0004151067408950231
Tactical + Shape,transition_conceded,XGBoost,0,12,1865,0.0005361930294906167,0.004993994254618883,0.0005368561251088977,0.5,0.0005361930294906167,0.000974974821786079
Tactical + Shape,transition_conceded,Logistic Regression,1,13,1966,0.001017293997965412,0.008040271183640564,0.0010263672657170137,0.7054480651731161,0.006313551208795639,0.00036408134094059416
Tactical + Shape,transition_conceded,Random Forest,1,13,1966,0.001017293997965412,0.012000171667122375,0.001041435702681231,0.554735234215886,0.001966372946504572,0.0008468274380615572
Tactical + Shape,transition_conceded,Gradient Boosting,1,13,1966,0.001017293997965412,0.009332367225002084,0.0010273263918004838,0.5982688391038696,0.002432637629960179,0.00038187291150402927
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,1,13,1966,0.001017293997965412,0.010175452383049212,0.0010173507429441968,0.7536914460285132,0.00325044312376186,0.0009360188248117591
Tactical + Shape,transition_conceded,XGBoost,1,13,1966,0.001017293997965412,0.00809087697416544,0.0010164235718548298,0.5,0.001017293997965412,0.00040551043309305446
Tactical + Shape,transition_conceded,Logistic Regression,2,13,1945,0.002056555269922879,0.013803137650301356,0.002044284188228573,0.8069294178258629,0.025329265422439344,0.0009209933380639232
Tactical + Shape,transition_conceded,Random Forest,2,13,1945,0.002056555269922879,0.020624641270598758,0.0020499707716861004,0.6165636269963937,0.01764986880016315,0.0007806158587347737
Tactical + Shape,transition_conceded,Gradient Boosting,2,13,1945,0.002056555269922879,0.015853752110089128,0.002056376956842764,0.8742916022668727,0.010530173802255379,0.001701319640502518
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,2,13,1945,0.002056555269922879,0.020274946393432202,0.002056370424665047,0.7438176197836166,0.006164166241251918,0.0019897582342885086
Tactical + Shape,transition_conceded,XGBoost,2,13,1945,0.002056555269922879,0.015057055279612541,0.002053125062957406,0.5,0.002056555269922879,0.0008937644601648715
Tactical + Shape,transition_conceded,Logistic Regression,3,13,1975,0.0020253164556962027,0.013958522030325937,0.0020369973656737335,0.8556570268899036,0.009323289843220518,0.0008474711488256771
Tactical + Shape,transition_conceded,Random Forest,3,13,1975,0.0020253164556962027,0.021125690456600777,0.002037122974248733,0.6177067478437341,0.005688374668270424,0.0007127326821203411
Tactical + Shape,transition_conceded,Gradient Boosting,3,13,1975,0.0020253164556962027,0.017779561490518504,0.0020285445638775334,0.6886098427194318,0.0046932502453250315,0.0016134356118369065
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,3,13,1975,0.0020253164556962027,0.018847716314134098,0.0020283487166367457,0.7976915271435819,0.0202222191651926,0.0018996825188253167
Tactical + Shape,transition_conceded,XGBoost,3,13,1975,0.0020253164556962027,0.014842672273516655,0.002021950902417302,0.5,0.0020253164556962027,0.0008580015137013568
Tactical + Shape,transition_conceded,Logistic Regression,4,13,1934,0.001034126163391934,0.00740076544339624,0.0010453833030855317,0.8993271221532091,0.007592925425229872,0.0003546773766586157
Tactical + Shape,transition_conceded,Random Forest,4,13,1934,0.001034126163391934,0.012530853974596386,0.0010560680224805988,0.4990942028985507,0.001397344771836812,0.0005354440150384992
Tactical + Shape,transition_conceded,Gradient Boosting,4,13,1934,0.001034126163391934,0.00892130374685292,0.001053134896502917,0.7435300207039337,0.0029318052914289526,0.0005890773285766805
Tactical + Shape,transition_conceded,Histogram Gradient Boosting,4,13,1934,0.001034126163391934,0.010211021465061637,0.00103495184375709,0.7784679089026915,0.0033963411264024764,0.0009274254652032962
Tactical + Shape,transition_conceded,XGBoost,4,13,1934,0.001034126163391934,0.008200958371162415,0.0010332072852179408,0.5,0.001034126163391934,0.0003878468294380446
Tactical + Shape,transition_conceded,Soft Vote: All,0,12,1865,0.0005361930294906167,0.004076519311628885,0.0005357984583545035,0.9511802575107297,0.010869565217391304,0.0006595926514689537
Tactical + Shape,transition_conceded,Soft Vote: All,1,13,1966,0.001017293997965412,0.00822974023747747,0.0010191132157857297,0.6059063136456211,0.003033855773581801,5.959156829983699e-05
Tactical + Shape,transition_conceded,Soft Vote: All,2,13,1945,0.002056555269922879,0.013823824378921198,0.0020489532243965487,0.8696548171045853,0.018807061305030355,0.0012574132146767245
Tactical + Shape,transition_conceded,Soft Vote: All,3,13,1975,0.0020253164556962027,0.014793075613246769,0.002023741582694155,0.7884322678843227,0.007056511835689817,0.001162903663264899
Tactical + Shape,transition_conceded,Soft Vote: All,4,13,1934,0.001034126163391934,0.008142301514820972,0.0010366468726437496,0.7761387163561078,0.0033787401743451346,1.2158413115843794e-05
Tactical + Shape,transition_conceded,Soft Vote: Boosting,0,12,1865,0.0005361930294906167,0.00421312558171724,0.0005359621296353891,0.9560085836909871,0.012048192771084338,0.00025248292739604575
Tactical + Shape,transition_conceded,Soft Vote: Boosting,1,13,1966,0.001017293997965412,0.008258537744074142,0.0010177994465812752,0.6196537678207739,0.0024420386840514636,0.00030412702346403015
Tactical + Shape,transition_conceded,Soft Vote: Boosting,2,13,1945,0.002056555269922879,0.015738270073434483,0.002054536259716012,0.8652756311179804,0.009767385659464318,0.0015282807783186326
Tactical + Shape,transition_conceded,Soft Vote: Boosting,3,13,1975,0.0020253164556962027,0.015752363706649043,0.0020242918893057424,0.7142313546423136,0.006309055575009488,0.0014570398814545268
Tactical + Shape,transition_conceded,Soft Vote: Boosting,4,13,1934,0.001034126163391934,0.008379881808424253,0.001035766994825397,0.738871635610766,0.0028800481010121254,0.0003167757510241175
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,0,12,1865,0.0005361930294906167,0.004378011338855156,0.0005362871126427302,0.971030042918455,0.01818181818181818,0.001122912356945629
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,1,13,1966,0.001017293997965412,0.007816879228096386,0.0010179526353151465,0.7054480651731161,0.006313551208795639,0.0003847946405786413
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,2,13,1945,0.002056555269922879,0.014067024098519221,0.002047268647566668,0.8069294178258629,0.025329265422439344,0.0009073823138877795
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,3,13,1975,0.0020253164556962027,0.0142541560774778,0.0020247095404063394,0.8556570268899036,0.009323289843220518,0.0007939932454418511
Tactical + Shape,transition_conceded,Soft Vote: LR + XGB,4,13,1934,0.001034126163391934,0.00772800025709334,0.0010354089990513642,0.8993271221532091,0.007592925425229872,0.00037125907333517114
Player-Aware,shot,Logistic Regression,0,12,1865,0.13083109919571045,0.29121773612678054,0.09334865376706197,0.8604913987520353,0.43047700142333784,0.03076402604924902
Player-Aware,shot,Random Forest,0,12,1865,0.13083109919571045,0.26665604042413094,0.08447916826330827,0.8832713059131684,0.48370047311901304,0.023553129704750583
Player-Aware,shot,Gradient Boosting,0,12,1865,0.13083109919571045,0.2718192987151217,0.08547622028547301,0.8814155398913845,0.4819995109917257,0.022105979496970126
Player-Aware,shot,Histogram Gradient Boosting,0,12,1865,0.13083109919571045,0.2703010336061362,0.08646894528923917,0.8808871269505769,0.4727610094758496,0.015022297766323404
Player-Aware,shot,XGBoost,0,12,1865,0.13083109919571045,0.26699113845825195,0.08582181483507156,0.8818908587089532,0.4845338045306999,0.023359373251810145
Player-Aware,shot,Logistic Regression,1,13,1966,0.12054933875890132,0.25735351751261926,0.08042301819897862,0.8752675261669266,0.5002159478457895,0.015770417731994387
Player-Aware,shot,Random Forest,1,13,1966,0.12054933875890132,0.2659948814719917,0.08152305672978948,0.861647790361981,0.47401161727371965,0.011165763898889312
Player-Aware,shot,Gradient Boosting,1,13,1966,0.12054933875890132,0.2564393562984314,0.07840368598750141,0.8785571523746075,0.5127860810688274,0.014841368001153394
