team,player,matches_with_defensive_action,defensive_actions,pressure_actions,counterpress_actions,duels,interceptions,blocks,clearances,ball_recoveries,fouls_committed,fifty_fifties,actor_frame_count,avg_actor_x_when_acting,avg_actor_y_when_acting,avg_actor_distance_from_centroid_when_acting,avg_back_line_height_when_acting,avg_defensive_hull_area_when_acting,avg_defenders_behind_ball_when_acting,avg_defenders_within_5_when_acting,avg_defenders_within_10_when_acting,avg_visible_area_when_acting,player_role_cluster,defensive_player_role
Serbia,Andrija Živković,3,40,19,2,5,4,5,3,3,1,0,46,65.85734414160056,22.13041871555081,16.622796781279504,43.50920004563368,625.1917651995304,4.260869565217392,1.1304347826086956,1.9565217391304348,2814.743876042202,2,Wide Enforcer
South Korea,Kang-In Lee,4,40,32,10,1,0,1,1,2,3,0,45,60.81823009929375,44.23489728041453,12.16825995977308,50.08942872565504,476.7762648082237,3.977777777777778,1.2444444444444445,2.111111111111111,2512.313684048039,1,Pressing Disruptor
Belgium,Thorgan Hazard,2,40,28,1,5,0,2,0,1,2,2,42,72.5816326418353,48.7872197786556,17.291323037265897,35.00927369773623,650.5223950021192,5.333333333333333,1.1666666666666667,1.880952380952381,3075.239981632711,1,Pressing Disruptor
Croatia,Bruno Petković,6,39,27,5,6,0,1,0,3,2,0,62,53.92367526320006,42.48929415504082,10.98499751792832,57.80170596381039,363.3532308463701,4.532258064516129,0.967741935483871,1.6451612903225807,2497.133398897964,1,Pressing Disruptor
Ecuador,Enner Remberto Valencia Lastra,3,39,27,10,1,1,4,2,2,2,0,53,55.24331951966276,41.63496602168542,12.372795623594396,52.95609308648949,476.0717794960006,5.358490566037736,1.0377358490566038,1.7735849056603774,2399.3552787697254,1,Pressing Disruptor
Germany,Jamal Musiala,3,39,29,10,1,2,4,0,3,0,0,50,47.40511917311228,42.09902975364618,12.199206244578384,60.35990671616234,509.0991748591536,4.96,0.98,1.7,2589.3475740002787,1,Pressing Disruptor
Ghana,Jordan Ayew,3,39,29,7,2,1,0,1,4,1,1,49,70.7605700383134,65.91117602673152,14.935656625929358,37.54466146493963,485.1219999973568,5.061224489795919,1.1428571428571428,1.9387755102040816,2302.892721522101,1,Pressing Disruptor
Denmark,Christian Dannemann Eriksen,3,39,23,4,4,1,4,0,3,4,0,47,62.73489304763952,42.69997897646658,10.082176044852377,48.45998936634403,489.3750641187226,4.23404255319149,0.9361702127659576,2.3191489361702127,2692.2771092309818,1,Pressing Disruptor
Ecuador,Michael Steveen Estrada Martínez,3,39,28,8,3,0,3,1,0,4,0,46,49.25451440594585,39.69428642903926,13.269548772233913,57.40491451743707,480.0140318880994,5.130434782608695,1.0217391304347827,1.5869565217391304,2517.7810570221977,1,Pressing Disruptor
South Korea,Young-Gwon Kim,4,39,15,5,5,4,3,11,0,1,0,45,88.7372192561046,50.01005935124076,10.10548389429388,29.761253190543485,465.3400761232257,1.9111111111111112,1.6444444444444444,2.911111111111111,2515.622298178765,0,Deep Stopper
Brazil,Alex Sandro Lobo Silva,3,39,15,4,7,3,3,8,1,2,0,35,81.10801446663493,62.09783166534182,15.136211342577033,35.16358342558315,562.5369630208193,3.142857142857143,1.5142857142857142,2.742857142857143,2530.2343434584263,2,Wide Enforcer
Saudi Arabia,Ali Albulayhi,3,38,15,2,6,2,2,7,5,1,0,55,75.97082770584117,53.52003723104328,9.721099277793837,40.46336282463375,459.3492355936826,2.6,1.2727272727272727,2.690909090909091,2622.572106842678,0,Deep Stopper
